,corpus_id,corpus_name,collection_name,data_source,collection_id
1,1,English-WolfHemp,Frogs,CHILDES,1
2,2,Turkish-Aksu,Frogs,CHILDES,1
3,3,ArabicDutch-AarssenBos,Frogs,CHILDES,1
4,4,DutchArabic-AarssenBos,Frogs,CHILDES,1
5,5,French-Duguine,Frogs,CHILDES,1
6,6,French-Lyon,Frogs,CHILDES,1
7,7,Arabic-AarssenBos,Frogs,CHILDES,1
8,8,Italian-Roma,Frogs,CHILDES,1
9,9,Spanish-Aguilar,Frogs,CHILDES,1
10,10,Croatian-TKH,Frogs,CHILDES,1
11,11,DutchTurkish-AarssenBos,Frogs,CHILDES,1
12,12,Turkish-AarssenBos,Frogs,CHILDES,1
13,13,English-Slobin,Frogs,CHILDES,1
14,14,French-MTLN,Frogs,CHILDES,1
15,15,Spanish-Ornat,Frogs,CHILDES,1
16,16,English-MiamiBiling,Frogs,CHILDES,1
17,17,Thai-Zlatev,Frogs,CHILDES,1
18,18,Spanish-Sebastian,Frogs,CHILDES,1
19,19,Russian-Protassova,Frogs,CHILDES,1
20,20,Italian-Bologna,Frogs,CHILDES,1
21,21,Chinese-Chang,Frogs,CHILDES,1
22,22,Hebrew-Berman,Frogs,CHILDES,1
23,23,German-Bamberg,Frogs,CHILDES,1
24,24,English-MiamiMono,Frogs,CHILDES,1
25,25,Chinese-Guo,Frogs,CHILDES,1
26,26,Dutch-AarssenBos,Frogs,CHILDES,1
27,27,Spanish-MiamiBiling,Frogs,CHILDES,1
28,28,TurkishDutch-AarssenBos,Frogs,CHILDES,1
29,29,Basque-Duguine,Frogs,CHILDES,1
30,30,Chinese-Zhou,Frogs,CHILDES,1
31,31,Chinese-Tardif,Frogs,CHILDES,1
32,32,Garvey,Eng-NA,CHILDES,2
33,33,Valian,Eng-NA,CHILDES,2
34,34,Bernstein,Eng-NA,CHILDES,2
35,35,Clark,Eng-NA,CHILDES,2
36,36,PetersonMcCabe,Eng-NA,CHILDES,2
37,37,Evans,Eng-NA,CHILDES,2
38,38,Gathercole,Eng-NA,CHILDES,2
39,39,NewEngland,Eng-NA,CHILDES,2
40,40,Hall,Eng-NA,CHILDES,2
41,41,Peters,Eng-NA,CHILDES,2
42,42,VanKleeck,Eng-NA,CHILDES,2
43,43,Suppes,Eng-NA,CHILDES,2
44,44,Gopnik,Eng-NA,CHILDES,2
45,45,Rollins,Eng-NA,CHILDES,2
46,46,Kuczaj,Eng-NA,CHILDES,2
47,47,Gleason,Eng-NA,CHILDES,2
48,48,Sawyer,Eng-NA,CHILDES,2
49,49,HSLLD,Eng-NA,CHILDES,2
50,50,Gelman,Eng-NA,CHILDES,2
51,51,Sprott,Eng-NA,CHILDES,2
52,52,Bloom,Eng-NA,CHILDES,2
53,53,Bates,Eng-NA,CHILDES,2
54,54,Feldman,Eng-NA,CHILDES,2
55,55,Tardif,Eng-NA,CHILDES,2
56,56,Higginson,Eng-NA,CHILDES,2
57,57,Post,Eng-NA,CHILDES,2
58,58,Brown,Eng-NA,CHILDES,2
59,59,Haggerty,Eng-NA,CHILDES,2
60,60,MacWhinney,Eng-NA,CHILDES,2
61,61,Warren,Eng-NA,CHILDES,2
62,62,McMillan,Eng-NA,CHILDES,2
63,63,VanHouten,Eng-NA,CHILDES,2
64,64,Hicks,Eng-NA,CHILDES,2
65,65,Demetras2,Eng-NA,CHILDES,2
66,66,Brent,Eng-NA,CHILDES,2
67,67,Nelson,Eng-NA,CHILDES,2
68,68,Braunwald,Eng-NA,CHILDES,2
69,69,Soderstrom,Eng-NA,CHILDES,2
70,70,Sachs,Eng-NA,CHILDES,2
71,71,McCune,Eng-NA,CHILDES,2
72,72,Weist,Eng-NA,CHILDES,2
73,73,Morisset,Eng-NA,CHILDES,2
74,74,NewmanRatner,Eng-NA,CHILDES,2
75,75,Bliss,Eng-NA,CHILDES,2
76,76,Demetras1,Eng-NA,CHILDES,2
77,77,Bohannon,Eng-NA,CHILDES,2
78,78,Snow,Eng-NA,CHILDES,2
79,79,Lund,Scandinavian,CHILDES,3
80,80,Andren,Scandinavian,CHILDES,3
81,81,Ringstad,Scandinavian,CHILDES,3
82,82,Kari,Scandinavian,CHILDES,3
83,83,Einarsdottir,Scandinavian,CHILDES,3
84,84,Plunkett,Scandinavian,CHILDES,3
85,85,Ornat,Spanish,CHILDES,4
86,86,Romero,Spanish,CHILDES,4
87,87,GRERLI,Spanish,CHILDES,4
88,88,SerraSole,Spanish,CHILDES,4
89,89,Nieva,Spanish,CHILDES,4
90,90,FernAguado,Spanish,CHILDES,4
91,91,Marrero,Spanish,CHILDES,4
92,92,Remedi,Spanish,CHILDES,4
93,93,Vila,Spanish,CHILDES,4
94,94,BecaCESNo,Spanish,CHILDES,4
95,95,Aguirre,Spanish,CHILDES,4
96,96,Hess,Spanish,CHILDES,4
97,97,Montes,Spanish,CHILDES,4
98,98,Shiro,Spanish,CHILDES,4
99,99,OreaPine,Spanish,CHILDES,4
100,100,JacksonThal,Spanish,CHILDES,4
101,101,ColMex,Spanish,CHILDES,4
102,102,DiezItza,Spanish,CHILDES,4
103,103,Linaza,Spanish,CHILDES,4
104,104,Geneva,French,CHILDES,5
105,105,VionColas,French,CHILDES,5
106,106,Pauline,French,CHILDES,5
107,107,Hammelrath,French,CHILDES,5
108,108,Leveille,French,CHILDES,5
109,109,York,French,CHILDES,5
110,110,Champaud,French,CHILDES,5
111,111,MTLN,French,CHILDES,5
112,112,Palasis,French,CHILDES,5
113,113,Asymmetries,DutchAfrikaans,CHILDES,6
114,114,DeHouwer,DutchAfrikaans,CHILDES,6
115,115,Stellenbosch,DutchAfrikaans,CHILDES,6
116,116,Schaerlaekens,DutchAfrikaans,CHILDES,6
117,117,SouthwoodWhite,DutchAfrikaans,CHILDES,6
118,118,VanKampen,DutchAfrikaans,CHILDES,6
119,119,Groningen,DutchAfrikaans,CHILDES,6
120,120,Gillis,DutchAfrikaans,CHILDES,6
121,121,Wijnen,DutchAfrikaans,CHILDES,6
122,122,HKU,Chinese,CHILDES,7
123,123,LeeWongLeung,Chinese,CHILDES,7
124,124,LiZhou,Chinese,CHILDES,7
125,125,Chang2,Chinese,CHILDES,7
126,126,ChangPN,Chinese,CHILDES,7
127,127,LiReading,Chinese,CHILDES,7
128,128,AcadLang,Chinese,CHILDES,7
129,129,ZhouAssessment,Chinese,CHILDES,7
130,130,TCCM,Chinese,CHILDES,7
131,131,Tong,Chinese,CHILDES,7
132,132,Xinjiang,Chinese,CHILDES,7
133,133,Zhou2,Chinese,CHILDES,7
134,134,Chang1,Chinese,CHILDES,7
135,135,Zhou3,Chinese,CHILDES,7
136,136,TCCM-reading,Chinese,CHILDES,7
137,137,Erbaugh,Chinese,CHILDES,7
138,138,ZhouNarratives,Chinese,CHILDES,7
139,139,Zhou1,Chinese,CHILDES,7
140,140,ChangPlay,Chinese,CHILDES,7
141,141,ZhouDinner,Chinese,CHILDES,7
142,142,Gelman,Other,CHILDES,8
143,143,Reger,Other,CHILDES,8
144,144,MacWhinney,Other,CHILDES,8
145,145,Bodor,Other,CHILDES,8
146,146,Naama,Other,CHILDES,8
147,147,BermanLong,Other,CHILDES,8
148,148,Ravid,Other,CHILDES,8
149,149,BSF,Other,CHILDES,8
150,150,BatEl,Other,CHILDES,8
151,151,Levy,Other,CHILDES,8
152,152,Sarvasy,Other,CHILDES,8
153,153,Korgesaar,Other,CHILDES,8
154,154,Beek,Other,CHILDES,8
155,155,Kohler,Other,CHILDES,8
156,156,Kuett,Other,CHILDES,8
157,157,Argus,Other,CHILDES,8
158,158,MAIN,Other,CHILDES,8
159,159,Kapanen,Other,CHILDES,8
160,160,Vija,Other,CHILDES,8
161,161,Zupping,Other,CHILDES,8
162,162,Doukas,Other,CHILDES,8
163,163,Stephany,Other,CHILDES,8
164,164,Narasimhan,Other,CHILDES,8
165,165,DeLisser,Other,CHILDES,8
166,166,Soto,Other,CHILDES,8
167,167,Luque,Other,CHILDES,8
168,168,Demuth,Other,CHILDES,8
169,169,Aksu,Other,CHILDES,8
170,170,Altinkamis,Other,CHILDES,8
171,171,Family,Other,CHILDES,8
172,172,Samadi,Other,CHILDES,8
173,173,Ishii,Japanese,CHILDES,9
